index,Label,Text
1,not negative,@FordThunderman @slayadidanca @CapiLady @nypostbiz Thanks for sharing. That was a great clip. @TiffanyDCross rightly called out TS for saying America is not racist. Progress has been made for sure but donâ€™t get it twisted. A majority of white folks did not vote for Obama in either election. 43 &amp; 37% of white votes is all he got
2,negative,"@michael_rich29 @GbengaGOLD @PeterObi Are u even making sense at all, damn, this ppl ehn, Na God fit help una, even with fact of progress una go still say something, vote your candidate ooo, no sit down for house during the election time bcos we no wan hear say dem do una ojoro oo lol _Ÿ˜† _Ÿ_£ _Ÿ˜‰"
3,negative,"@CharmedbyKaren @GabrielSterling I believe any effort to further restrict access to voting is suppression. Kemp is quoted on record that he did not like the results of the 2020 election in GA and that more ""minorities"" were voting. When 2+2 =4 there's no need to pretend there was another reason 4 new voting laws"
4,negative,@Truth_Tornado @CNN @jaketapper Againâ€_you are believing a lie because it fits a narrative which you already accept. There were no lines anywhere in GA on Election Day in 2020. The law on water is no 3rd party can enter the 150 ft area near polling to do it. You are being lied to for political reasons.
5,not negative,"@Mary1Kathy @lyndah612 @lisasmith1150 @GulliAz @RadarResist @MarciaBarrie @ButtersKatz @JaxHarley5 @ltwlauren @SuePetrovek @TonyHQ1985 @DEMOCRACYDENNIS @UniversalSp1r1t @Real_Chatty_Cat I love this meme @Mary1Kathy 

Itâ€™s the damn and scary as hell. I hope many more than 2020 turn out and vote! This midterm election is more important than the Presidential election. I just hope Americans realize that. If Republicans win life as we know it will be forever changed!"
6,not negative,"@andymeyers10 @GabrielSterling It did seem slower per person this year.

The ID requirement has indeed been in place for a long time.

I voted first week, so I can only assume either the new voting systems are slower or they were still learning them.

This is the first big election with the new hardware."
7,not negative,@GabrielSterling @stphnfwlr Reminder folks voting Election Day: read your sample ballot online all the way to the end b4 you go/write all choices on a piece of paper. Waiting time in lines can move quicker if voters donâ€™t have to read it all for the 1st time incl the special bills/resolutions etc at the end
8,negative,"@johnj17 @CMetrakas @brithume Not following your logic. Trump started election-denying all the way back to Iowa in â€˜16 when he lost to Cruz. He said it was rigged back. Hell, heâ€™s even on record as saying back in â€˜12 that Romney lost because it was rigged. The man does not accept the will of the people."
9,negative,"This election I have had hundreds of dollars in signs being stolen across the district. So this time Iâ€™m putting it on video so yâ€™all know the signs did exist. At the end of the day though, signs donâ€™t voteâ€” people do! 

Taking bets on how long it takes for these to disappear _Ÿ™„ https://t.co/UjuZZ4j27j"
10,negative,@BBCWorld It is under threat from you and a majority of your extremist republicans . If we canâ€™t know that if you win an election with votes someone can disregard your vote in favor of a total Republican Party . That is when democracy dies. You are a part of this en it stop the lies.
11,negative,"@TuckerOriginals We, the BRAZILIAN people will never accept LULA, a corrupt thug condemned to more than 20 years but released after 18 months in jail by his buddies from the SUPREME COURT. We THE _Ÿ‡§_Ÿ‡· REAL PATRIOTIC BRAZILIAN PEOPLE WILL RESIST, P E R I O D !!! This was a rigged election â€_ _Ÿ‘‡ https://t.co/DgYf1pLXdS"
12,negative,"@johnj17 @CMetrakas @brithume By the way JJ, itâ€™s ironic you reference a crying baby. Isnâ€™t that what Trumpâ€™s done every day since the last election? Iâ€™ve never seen someone make such a career whining about how the ref caused him to lose on the field of competition.The entire MAGA world does nothing but whine"
13,negative,We know MAGA GOP is controlled by a corrupt dictator whose platform is based on lies. It is a Proven Fact Trump did not win 2020 Election. MAGA GOP supports election deniers. GOPâ€™s brand use 2b Moral Values. Have U sold your soul? Or can U speak up &amp; say MAGA GOP Enough is Enough
14,not negative,"This tweet was unintentionally a Rorschach test.  Didn't mean it to be that way.  Oz can still win.  The polling trends have favored him.  But the GOP in PA seems really intent on showing up on Election Day, and they actually need to do that and stay in line to get a win. https://t.co/g3zh7R24ep"
15,not negative,"@brobobcrist @SlateDianne2 @ericareport There was no fraud in Georgia. Zero cases have been prosecuted for fraud in Georgia from the 2020 election.

To clarify you do sign for receiving a ballot for early voting but there's no signature match for in person voting that's only for mail in ballots. In person uses photo ID"
16,negative,"@JradRabel Absolutely right!! I also donâ€™t like this early voting stuff. When I was growing up you voted on election day or, if you were in the military/legitimately out of state, then you used the mail in ballot. Like you, I have little faith in the election system! I am voting in person! https://t.co/4sLArB56Ey"
17,negative,@Billflanigan @GabrielSterling I am OK with the world &amp; more importantly the white progressive libs seeing who he really isâ€_They hv elevated him to such heights for merely doing his job when HIS life was threatened that itâ€™s only normal that the real cretin that he is comes out so close to Election Day.
18,negative,"MAGA Election Denierâ€™s Goal is 2 have A â€œOne Party Ruleâ€ù (GOP) Where our Vote will no longer Count. If they win they will Deny our Vote 2 Win. What they R doing is based on a Lie. Mama said, If U Lie U Will Steal. VOTE While We Still Have Our Democracy, Instead of Dictatorship."
19,not negative,"@merm67 You do understand that lots of people WORK 12+ hour shifts and can't get to an election office between 9 am and 5 pm M- F, right? 

Drop boxes exist for those HEALTHY voters who can't get time off to stand in line to vote yet don't trust the mail to deliver their ballot in time."
20,not negative,"@ToniBuzo @JayLionel7 @DonaldJTrumpJr Al Gore has moved on. Abrahms is running for Governor. U keep saying ""The facts are coming out..."" but they never do. Az found no fraud. PA or GA either (They're republican BTW) If U want election reform, y was funding for electn security voted down in the Senate? Hypocrit much?"
21,negative,@Derwin0000 @staceyabrams @ReverendWarnock @senatorjen @BeeForGeorgia Not the same. She just questioned Kemp overseeing his own election as SOS. I didnâ€™t see her bitching about illegitimate votes or attacking poll workers. Like I said Iâ€™m an independent. If you think that was even remotely similar to Trump then thereâ€™s not much we can agree on
22,not negative,"@markniesse @bluestein Since 2020 saw a huge increase in VBM that we have not seen in 2022 (partly because SB 202 made it harder to vote that way), I think we will see similar numbers on Election Day to what we saw in 2018. Thatâ€™s my prediction. I donâ€™t see any indication that wouldnâ€™t happen."
23,not negative,"@ChaseGooch @Clear404Sky @Reuters Libs have denied election results in every presidential election they lost since Bush 1. Clinton is already out making claims about 2024.  Abrams in GA still claims she won in 2018. Joe out telling us it could take days to know who won, every other country can do this in one day?"
24,negative,"@Myfutrestartsnw @InvestorKelvy @Daprince3010 @KiingsAnum @CeaserJnr5 @DrMikeEgbebike what did he do under pdp? Absolutely nothing, obi wey no allow local chairman election hold whene be governor, Tinubu doesn't get 3 years allocation and still deliver, Obi has no legacy,Lagos will never be compared to a village laye laye, shift abeg, Lagos get oil? Ur iq=0"
25,negative,"@autigerbrian @ClayTravis That's BS  &amp; a false equivalency.

Clinton &amp; Abrams defended democracy &amp; conceded!!  Two years later &amp; Donald Trump continues fueling his Big Lie. 

I live in GA &amp; Kemp as Secy of State was the referee &amp; player in his election. The south has a long history of voter suppression. https://t.co/GtmoVl3g6w"
26,negative,@petespiliakos If itâ€™s DeSantis v Biden in 24 then Rs could conceivably win 8+ senate seats and I think Democrats know that. I also think heâ€™s genuinely too old and Ds know that too. I predict we get a long Times or WaPo article right after the election about how bad his decline actually is.
27,not negative,"I don't understand why more ppl don't take advantage of early voting in GA. You have 3 weeks, including Sat &amp; Sun in some locations, to get your ballot in. I went the first day and it took me around 7 mins to be in and out.  That's better than 6 hrs on election day."
28,negative,"@Evelyn31721 @authenticreel @stphnfwlr @Forbes Cases can take time to get through courts. That's true.

But there would be public records if they had done any filing of an actual case. Anyone can talk about fraud, but until there are court cases it's just talk and this close to an election it's just playing dirty politics."
29,not negative,"Wow HD 108!! Weâ€™ve already hit the 10K votes mark which represents about 25% of registered voters in the district. But that means there are still 30K votes out there, with less than a week to go!

Early voting ends on FRIDAY @ 7 pm and Election Day is Tuesday, Nov 8!! 

#Vote https://t.co/5TA4O1h1lf"
30,not negative,"@WendyHail2024 @thecjpearson The early voting process was the same as Election Day.  A poll worker checks me in and takes my ID to scan.  Asks me to verify my info and then gives me a card to take to the voting booth.  I then insert the card and make my selections.  Review, print, review again and scan into"
31,not negative,"@KeyserSozeBro1 It was that way almost everywhere, at least here in the Atlanta area. Now that GA has had several cycles with EV, election day tends to function as the final day of early voting, rather than a big event in itself. But who knows? _Ÿ_·â€çâ™‚ï¸è We'll just have to wait and see this year."
